geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0002764	immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	485	30	3.340987370838117	8.97938144329897	0	0	25;60;71;998;1387;2033;2099;2353;2822;3265;3684;3689;3725;3845;4208;5290;5291;5296;5336;5566;5567;5568;5579;5747;5879;5970;6233;7311;7314;7316	EP300;PRKACA;GPLD1;PIK3CA;ACTG1;HRAS;RAC1;PRKCB;KRAS;RELA;CDC42;ESR1;PTK2;PIK3CB;ACTB;PRKACB;PRKACG;PLCG2;RPS27A;MEF2C;ITGAM;JUN;FOS;UBC;UBA52;UBB;PIK3R2;ITGB2;ABL1;CREBBP
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	372	22	2.5625717566016073	8.585125448028673	6.5503158452884236e-15	2.78388423424758e-12	207;367;659;1001;1499;1956;2064;2099;2475;2735;3265;3725;4208;4609;5291;5469;5728;5828;6091;6667;6772;6774	STAT1;CTNNB1;STAT3;AR;HRAS;AKT1;EGFR;MYC;ESR1;PIK3CB;MEF2C;JUN;PTEN;MED1;MTOR;PEX2;SP1;ROBO1;GLI1;BMPR2;CDH3;ERBB2
GO:0071559	response to transforming growth factor beta	http://amigo.geneontology.org/amigo/term/GO:0071559	238	18	1.6394948335246842	10.978991596638656	3.68594044175552e-14	1.0443497918307305e-11	387;659;1277;1278;1387;2033;2353;3675;3725;4089;4208;5590;5747;6233;6935;7311;7314;7316	EP300;RHOA;PTK2;SMAD4;RPS27A;MEF2C;JUN;FOS;UBC;UBA52;UBB;COL1A2;BMPR2;COL1A1;PRKCZ;CREBBP;ITGA3;ZEB1
GO:0070997	neuron death	http://amigo.geneontology.org/amigo/term/GO:0070997	325	20	2.2388059701492535	8.933333333333334	6.128431095930864e-14	1.3022916078853086e-11	25;207;387;472;998;1499;2353;2475;2904;3265;3684;3689;3725;3845;4208;4803;5290;6416;6774;7314	CTNNB1;RHOA;STAT3;PIK3CA;HRAS;AKT1;KRAS;CDC42;MEF2C;ITGAM;JUN;FOS;UBB;NGF;MTOR;ITGB2;ATM;GRIN2B;ABL1;MAP2K4
GO:0001525	angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0001525	487	23	3.354764638346728	6.855920602327173	1.7430501486614958e-13	2.963185252724543e-11	25;207;387;718;998;1499;1634;2064;2822;3689;3725;4627;4854;5290;5291;5469;5579;5728;5747;6091;6667;6772;6774	STAT1;CTNNB1;RHOA;STAT3;GPLD1;PIK3CA;AKT1;PRKCB;CDC42;C3;PTK2;PIK3CB;JUN;PTEN;MED1;ITGB2;SP1;ROBO1;ABL1;MYH9;DCN;NOTCH3;ERBB2
GO:0090130	tissue migration	http://amigo.geneontology.org/amigo/term/GO:0090130	283	18	1.949483352468427	9.23321554770318	7.238654120556021e-13	1.0254760004121029e-10	25;207;387;659;1634;2475;2822;3675;3689;3725;4208;4627;5290;5728;5747;6091;6667;6772	STAT1;RHOA;GPLD1;PIK3CA;AKT1;PTK2;MEF2C;JUN;PTEN;MTOR;ITGB2;SP1;ROBO1;BMPR2;ABL1;MYH9;ITGA3;DCN
GO:0051090	regulation of DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0051090	404	20	2.78300803673938	7.186468646864686	3.5000891074332685e-12	4.2501082018832545e-10	207;367;815;1499;2033;2099;2353;3169;3689;3725;3845;5579;5590;5728;5970;6233;6774;7311;7314;7316	EP300;CTNNB1;STAT3;FOXA1;AR;AKT1;PRKCB;KRAS;RELA;ESR1;RPS27A;JUN;PTEN;FOS;UBC;UBA52;UBB;ITGB2;CAMK2A;PRKCZ
GO:0198738	cell-cell signaling by wnt	http://amigo.geneontology.org/amigo/term/GO:0198738	459	21	3.161882893226177	6.64161220043573	4.21729318134112e-12	4.4808740051749396e-10	25;387;815;998;1001;1277;1499;1956;2099;2735;2782;3675;5336;5563;5728;5879;6233;7311;7314;7316;54331	CTNNB1;RHOA;RAC1;EGFR;CDC42;ESR1;PLCG2;RPS27A;PTEN;GNB1;UBC;UBA52;UBB;GLI1;CAMK2A;ABL1;GNG2;COL1A1;ITGA3;PRKAA2;CDH3
GO:0031349	positive regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031349	427	20	2.941446613088404	6.799375487900078	9.602318939982979e-12	9.068856776650591e-10	718;1387;1956;2033;2099;3265;3684;3689;3845;4208;5336;5469;5566;5567;5568;5970;6233;7311;7314;7316	EP300;PRKACA;HRAS;KRAS;EGFR;RELA;ESR1;C3;PRKACB;PRKACG;PLCG2;RPS27A;MEF2C;ITGAM;UBC;UBA52;UBB;MED1;ITGB2;CREBBP
GO:0001667	ameboidal-type cell migration	http://amigo.geneontology.org/amigo/term/GO:0001667	381	19	2.6245694603903558	7.239282589676291	1.1457501614131615e-11	9.680524900209282e-10	25;207;387;659;1634;2066;2475;2822;3675;3689;3725;4208;4627;5290;5728;5747;6091;6667;6772	STAT1;RHOA;GPLD1;PIK3CA;AKT1;PTK2;MEF2C;JUN;PTEN;MTOR;ITGB2;SP1;ERBB4;ROBO1;BMPR2;ABL1;MYH9;ITGA3;DCN
